[%];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h]
SLOPE;VMH200;VMH150;VMH125;VMH100;VMH075;VMH050;VMH030;VMH010
345;155.18;116.39;96.99;77.59;58.19;38.8;23.28;7.76
346;155.41;116.56;97.13;77.7;58.28;38.85;23.31;7.77
347;155.63;116.73;97.27;77.82;58.36;38.91;23.35;7.78
348;155.86;116.89;97.41;77.93;58.45;38.96;23.38;7.79
349;156.08;117.06;97.55;78.04;58.53;39.02;23.41;7.8
350;156.31;117.23;97.69;78.15;58.61;39.08;23.45;7.82
351;156.53;117.4;97.83;78.26;58.7;39.13;23.48;7.83
352;156.75;117.56;97.97;78.38;58.78;39.19;23.51;7.84
353;156.97;117.73;98.11;78.49;58.87;39.24;23.55;7.85
354;157.2;117.9;98.25;78.6;58.95;39.3;23.58;7.86
355;157.42;118.06;98.39;78.71;59.03;39.35;23.61;7.87
356;157.64;118.23;98.52;78.82;59.11;39.41;23.65;7.88
357;157.86;118.4;98.66;78.93;59.2;39.47;23.68;7.89
358;158.08;118.56;98.8;79.04;59.28;39.52;23.71;7.9
359;158.3;118.73;98.94;79.15;59.36;39.58;23.75;7.92
360;158.52;118.89;99.08;79.26;59.45;39.63;23.78;7.93
361;158.74;119.06;99.21;79.37;59.53;39.69;23.81;7.94
362;158.96;119.22;99.35;79.48;59.61;39.74;23.84;7.95
363;159.18;119.39;99.49;79.59;59.69;39.8;23.88;7.96
364;159.4;119.55;99.63;79.7;59.78;39.85;23.91;7.97
365;159.62;119.71;99.76;79.81;59.86;39.9;23.94;7.98
366;159.84;119.88;99.9;79.92;59.94;39.96;23.98;7.99
367;160.06;120.04;100.04;80.03;60.02;40.01;24.01;8
368;160.27;120.21;100.17;80.14;60.1;40.07;24.04;8.01
369;160.49;120.37;100.31;80.25;60.18;40.12;24.07;8.02
370;160.71;120.53;100.44;80.35;60.27;40.18;24.11;8.04
371;160.93;120.69;100.58;80.46;60.35;40.23;24.14;8.05
372;161.14;120.86;100.71;80.57;60.43;40.29;24.17;8.06
373;161.36;121.02;100.85;80.68;60.51;40.34;24.2;8.07
374;161.58;121.18;100.98;80.79;60.59;40.39;24.24;8.08
375;161.79;121.34;101.12;80.9;60.67;40.45;24.27;8.09
376;162.01;121.51;101.25;81;60.75;40.5;24.3;8.1
377;162.22;121.67;101.39;81.11;60.83;40.56;24.33;8.11
378;162.44;121.83;101.52;81.22;60.91;40.61;24.37;8.12
379;162.65;121.99;101.66;81.33;60.99;40.66;24.4;8.13
380;162.87;122.15;101.79;81.43;61.07;40.72;24.43;8.14
381;163.08;122.31;101.93;81.54;61.16;40.77;24.46;8.15
382;163.29;122.47;102.06;81.65;61.24;40.82;24.49;8.16
383;163.51;122.63;102.19;81.75;61.32;40.88;24.53;8.18
384;163.72;122.79;102.33;81.86;61.4;40.93;24.56;8.19
385;163.93;122.95;102.46;81.97;61.48;40.98;24.59;8.2
386;164.15;123.11;102.59;82.07;61.56;41.04;24.62;8.21
387;164.36;123.27;102.72;82.18;61.63;41.09;24.65;8.22
388;164.57;123.43;102.86;82.29;61.71;41.14;24.69;8.23
389;164.78;123.59;102.99;82.39;61.79;41.2;24.72;8.24
390;165;123.75;103.12;82.5;61.87;41.25;24.75;8.25
391;165.21;123.9;103.25;82.6;61.95;41.3;24.78;8.26
392;165.42;124.06;103.39;82.71;62.03;41.35;24.81;8.27
393;165.63;124.22;103.52;82.81;62.11;41.41;24.84;8.28
394;165.84;124.38;103.65;82.92;62.19;41.46;24.88;8.29
395;166.05;124.54;103.78;83.02;62.27;41.51;24.91;8.3
396;166.26;124.69;103.91;83.13;62.35;41.56;24.94;8.31
397;166.47;124.85;104.04;83.23;62.43;41.62;24.97;8.32
398;166.68;125.01;104.17;83.34;62.5;41.67;25;8.33
399;166.89;125.17;104.31;83.44;62.58;41.72;25.03;8.34
400;167.1;125.32;104.44;83.55;62.66;41.77;25.06;8.35
401;167.31;125.48;104.57;83.65;62.74;41.83;25.1;8.37
402;167.51;125.64;104.7;83.76;62.82;41.88;25.13;8.38
403;167.72;125.79;104.83;83.86;62.9;41.93;25.16;8.39
404;167.93;125.95;104.96;83.97;62.97;41.98;25.19;8.4
405;168.14;126.1;105.09;84.07;63.05;42.03;25.22;8.41
406;168.35;126.26;105.22;84.17;63.13;42.09;25.25;8.42
407;168.55;126.41;105.35;84.28;63.21;42.14;25.28;8.43
408;168.76;126.57;105.47;84.38;63.28;42.19;25.31;8.44
409;168.97;126.72;105.6;84.48;63.36;42.24;25.34;8.45
410;169.17;126.88;105.73;84.59;63.44;42.29;25.38;8.46
411;169.38;127.03;105.86;84.69;63.52;42.34;25.41;8.47
412;169.59;127.19;105.99;84.79;63.59;42.4;25.44;8.48
413;169.79;127.34;106.12;84.9;63.67;42.45;25.47;8.49
414;170;127.5;106.25;85;63.75;42.5;25.5;8.5
415;170.2;127.65;106.38;85.1;63.83;42.55;25.53;8.51
416;170.41;127.8;106.5;85.2;63.9;42.6;25.56;8.52
417;170.61;127.96;106.63;85.31;63.98;42.65;25.59;8.53
418;170.82;128.11;106.76;85.41;64.06;42.7;25.62;8.54
419;171.02;128.26;106.89;85.51;64.13;42.75;25.65;8.55
420;171.22;128.42;107.01;85.61;64.21;42.81;25.68;8.56
421;171.43;128.57;107.14;85.71;64.29;42.86;25.71;8.57
422;171.63;128.72;107.27;85.82;64.36;42.91;25.74;8.58
423;171.83;128.88;107.4;85.92;64.44;42.96;25.78;8.59
424;172.04;129.03;107.52;86.02;64.51;43.01;25.81;8.6
425;172.24;129.18;107.65;86.12;64.59;43.06;25.84;8.61
426;172.44;129.33;107.78;86.22;64.67;43.11;25.87;8.62
427;172.64;129.48;107.9;86.32;64.74;43.16;25.9;8.63
428;172.85;129.64;108.03;86.42;64.82;43.21;25.93;8.64
429;173.05;129.79;108.16;86.52;64.89;43.26;25.96;8.65
430;173.25;129.94;108.28;86.63;64.97;43.31;25.99;8.66
431;173.45;130.09;108.41;86.73;65.04;43.36;26.02;8.67
432;173.65;130.24;108.53;86.83;65.12;43.41;26.05;8.68
433;173.85;130.39;108.66;86.93;65.2;43.46;26.08;8.69
434;174.05;130.54;108.78;87.03;65.27;43.51;26.11;8.7
435;174.25;130.69;108.91;87.13;65.35;43.56;26.14;8.71
436;174.45;130.84;109.03;87.23;65.42;43.61;26.17;8.72
437;174.65;130.99;109.16;87.33;65.5;43.66;26.2;8.73
438;174.85;131.14;109.28;87.43;65.57;43.71;26.23;8.74
439;175.05;131.29;109.41;87.53;65.65;43.76;26.26;8.75
440;175.25;131.44;109.53;87.63;65.72;43.81;26.29;8.76
441;175.45;131.59;109.66;87.73;65.79;43.86;26.32;8.77
442;175.65;131.74;109.78;87.83;65.87;43.91;26.35;8.78
443;175.85;131.89;109.91;87.92;65.94;43.96;26.38;8.79
444;176.05;132.04;110.03;88.02;66.02;44.01;26.41;8.8
445;176.25;132.18;110.15;88.12;66.09;44.06;26.44;8.81
446;176.44;132.33;110.28;88.22;66.17;44.11;26.47;8.82
447;176.64;132.48;110.4;88.32;66.24;44.16;26.5;8.83
448;176.84;132.63;110.52;88.42;66.31;44.21;26.53;8.84
449;177.04;132.78;110.65;88.52;66.39;44.26;26.56;8.85
450;177.23;132.93;110.77;88.62;66.46;44.31;26.59;8.86
451;177.43;133.07;110.89;88.72;66.54;44.36;26.61;8.87
452;177.63;133.22;111.02;88.81;66.61;44.41;26.64;8.88
453;177.82;133.37;111.14;88.91;66.68;44.46;26.67;8.89
454;178.02;133.51;111.26;89.01;66.76;44.5;26.7;8.9
455;178.22;133.66;111.38;89.11;66.83;44.55;26.73;8.91
456;178.41;133.81;111.51;89.21;66.9;44.6;26.76;8.92
457;178.61;133.95;111.63;89.3;66.98;44.65;26.79;8.93
458;178.8;134.1;111.75;89.4;67.05;44.7;26.82;8.94
459;179;134.25;111.87;89.5;67.12;44.75;26.85;8.95
460;179.19;134.39;111.99;89.6;67.2;44.8;26.88;8.96
461;179.39;134.54;112.12;89.69;67.27;44.85;26.91;8.97
462;179.58;134.69;112.24;89.79;67.34;44.9;26.94;8.98
463;179.78;134.83;112.36;89.89;67.42;44.94;26.97;8.99
464;179.97;134.98;112.48;89.98;67.49;44.99;27;9
465;180.16;135.12;112.6;90.08;67.56;45.04;27.02;9.01
466;180.36;135.27;112.72;90.18;67.63;45.09;27.05;9.02
467;180.55;135.41;112.84;90.28;67.71;45.14;27.08;9.03
468;180.74;135.56;112.96;90.37;67.78;45.19;27.11;9.04
469;180.94;135.7;113.09;90.47;67.85;45.23;27.14;9.05
470;181.13;135.85;113.21;90.56;67.92;45.28;27.17;9.06
471;181.32;135.99;113.33;90.66;68;45.33;27.2;9.07
472;181.51;136.14;113.45;90.76;68.07;45.38;27.23;9.08
473;181.71;136.28;113.57;90.85;68.14;45.43;27.26;9.09
474;181.9;136.42;113.69;90.95;68.21;45.47;27.28;9.09
475;182.09;136.57;113.81;91.04;68.28;45.52;27.31;9.1
476;182.28;136.71;113.93;91.14;68.36;45.57;27.34;9.11
477;182.47;136.85;114.05;91.24;68.43;45.62;27.37;9.12
478;182.66;137;114.17;91.33;68.5;45.67;27.4;9.13
479;182.86;137.14;114.28;91.43;68.57;45.71;27.43;9.14
480;183.05;137.28;114.4;91.52;68.64;45.76;27.46;9.15
481;183.24;137.43;114.52;91.62;68.71;45.81;27.49;9.16
482;183.43;137.57;114.64;91.71;68.79;45.86;27.51;9.17
483;183.62;137.71;114.76;91.81;68.86;45.9;27.54;9.18
484;183.81;137.86;114.88;91.9;68.93;45.95;27.57;9.19
485;184;138;115;92;69;46;27.6;9.2
486;184.19;138.14;115.12;92.09;69.07;46.05;27.63;9.21
487;184.38;138.28;115.23;92.19;69.14;46.09;27.66;9.22
488;184.56;138.42;115.35;92.28;69.21;46.14;27.68;9.23
489;184.75;138.57;115.47;92.38;69.28;46.19;27.71;9.24
490;184.94;138.71;115.59;92.47;69.35;46.24;27.74;9.25
491;185.13;138.85;115.71;92.57;69.42;46.28;27.77;9.26
492;185.32;138.99;115.82;92.66;69.49;46.33;27.8;9.27
493;185.51;139.13;115.94;92.75;69.57;46.38;27.83;9.28
494;185.7;139.27;116.06;92.85;69.64;46.42;27.85;9.28
495;185.88;139.41;116.18;92.94;69.71;46.47;27.88;9.29
496;186.07;139.55;116.29;93.04;69.78;46.52;27.91;9.3
497;186.26;139.69;116.41;93.13;69.85;46.56;27.94;9.31
