[%];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h];[m/h]
SLOPE;VMH200;VMH150;VMH125;VMH100;VMH075;VMH050;VMH030;VMH010
9078;796.04;597.03;497.52;398.02;298.51;199.01;119.41;39.8
9079;796.08;597.06;497.55;398.04;298.53;199.02;119.41;39.8
9080;796.13;597.09;497.58;398.06;298.55;199.03;119.42;39.81
9081;796.17;597.13;497.61;398.09;298.56;199.04;119.43;39.81
9082;796.21;597.16;497.63;398.11;298.58;199.05;119.43;39.81
9083;796.26;597.19;497.66;398.13;298.6;199.06;119.44;39.81
9084;796.3;597.23;497.69;398.15;298.61;199.08;119.45;39.82
9085;796.35;597.26;497.72;398.17;298.63;199.09;119.45;39.82
9086;796.39;597.29;497.74;398.19;298.65;199.1;119.46;39.82
9087;796.43;597.33;497.77;398.22;298.66;199.11;119.47;39.82
9088;796.48;597.36;497.8;398.24;298.68;199.12;119.47;39.82
9089;796.52;597.39;497.83;398.26;298.7;199.13;119.48;39.83
9090;796.56;597.42;497.85;398.28;298.71;199.14;119.48;39.83
9091;796.61;597.46;497.88;398.3;298.73;199.15;119.49;39.83
9092;796.65;597.49;497.91;398.33;298.74;199.16;119.5;39.83
9093;796.7;597.52;497.94;398.35;298.76;199.17;119.5;39.83
9094;796.74;597.56;497.96;398.37;298.78;199.19;119.51;39.84
9095;796.78;597.59;497.99;398.39;298.79;199.2;119.52;39.84
9096;796.83;597.62;498.02;398.41;298.81;199.21;119.52;39.84
9097;796.87;597.65;498.04;398.44;298.83;199.22;119.53;39.84
9098;796.92;597.69;498.07;398.46;298.84;199.23;119.54;39.85
9099;796.96;597.72;498.1;398.48;298.86;199.24;119.54;39.85
9100;797;597.75;498.13;398.5;298.88;199.25;119.55;39.85
9101;797.05;597.78;498.15;398.52;298.89;199.26;119.56;39.85
9102;797.09;597.82;498.18;398.55;298.91;199.27;119.56;39.85
9103;797.13;597.85;498.21;398.57;298.93;199.28;119.57;39.86
9104;797.18;597.88;498.24;398.59;298.94;199.29;119.58;39.86
9105;797.22;597.92;498.26;398.61;298.96;199.31;119.58;39.86
9106;797.27;597.95;498.29;398.63;298.97;199.32;119.59;39.86
9107;797.31;597.98;498.32;398.65;298.99;199.33;119.6;39.87
9108;797.35;598.01;498.35;398.68;299.01;199.34;119.6;39.87
9109;797.4;598.05;498.37;398.7;299.02;199.35;119.61;39.87
9110;797.44;598.08;498.4;398.72;299.04;199.36;119.62;39.87
9111;797.48;598.11;498.43;398.74;299.06;199.37;119.62;39.87
9112;797.53;598.15;498.46;398.76;299.07;199.38;119.63;39.88
9113;797.57;598.18;498.48;398.79;299.09;199.39;119.64;39.88
9114;797.62;598.21;498.51;398.81;299.11;199.4;119.64;39.88
9115;797.66;598.24;498.54;398.83;299.12;199.41;119.65;39.88
9116;797.7;598.28;498.56;398.85;299.14;199.43;119.66;39.89
9117;797.75;598.31;498.59;398.87;299.16;199.44;119.66;39.89
9118;797.79;598.34;498.62;398.9;299.17;199.45;119.67;39.89
9119;797.83;598.38;498.65;398.92;299.19;199.46;119.68;39.89
9120;797.88;598.41;498.67;398.94;299.2;199.47;119.68;39.89
9121;797.92;598.44;498.7;398.96;299.22;199.48;119.69;39.9
9122;797.97;598.47;498.73;398.98;299.24;199.49;119.69;39.9
9123;798.01;598.51;498.76;399;299.25;199.5;119.7;39.9
9124;798.05;598.54;498.78;399.03;299.27;199.51;119.71;39.9
9125;798.1;598.57;498.81;399.05;299.29;199.52;119.71;39.9
9126;798.14;598.61;498.84;399.07;299.3;199.54;119.72;39.91
9127;798.18;598.64;498.87;399.09;299.32;199.55;119.73;39.91
9128;798.23;598.67;498.89;399.11;299.34;199.56;119.73;39.91
9129;798.27;598.7;498.92;399.14;299.35;199.57;119.74;39.91
9130;798.32;598.74;498.95;399.16;299.37;199.58;119.75;39.92
9131;798.36;598.77;498.97;399.18;299.38;199.59;119.75;39.92
9132;798.4;598.8;499;399.2;299.4;199.6;119.76;39.92
9133;798.45;598.83;499.03;399.22;299.42;199.61;119.77;39.92
9134;798.49;598.87;499.06;399.25;299.43;199.62;119.77;39.92
9135;798.53;598.9;499.08;399.27;299.45;199.63;119.78;39.93
9136;798.58;598.93;499.11;399.29;299.47;199.64;119.79;39.93
9137;798.62;598.97;499.14;399.31;299.48;199.66;119.79;39.93
9138;798.67;599;499.17;399.33;299.5;199.67;119.8;39.93
9139;798.71;599.03;499.19;399.35;299.52;199.68;119.81;39.94
9140;798.75;599.06;499.22;399.38;299.53;199.69;119.81;39.94
9141;798.8;599.1;499.25;399.4;299.55;199.7;119.82;39.94
9142;798.84;599.13;499.27;399.42;299.56;199.71;119.83;39.94
9143;798.88;599.16;499.3;399.44;299.58;199.72;119.83;39.94
9144;798.93;599.2;499.33;399.46;299.6;199.73;119.84;39.95
9145;798.97;599.23;499.36;399.49;299.61;199.74;119.85;39.95
9146;799.01;599.26;499.38;399.51;299.63;199.75;119.85;39.95
9147;799.06;599.29;499.41;399.53;299.65;199.76;119.86;39.95
9148;799.1;599.33;499.44;399.55;299.66;199.78;119.87;39.96
9149;799.15;599.36;499.47;399.57;299.68;199.79;119.87;39.96
9150;799.19;599.39;499.49;399.59;299.7;199.8;119.88;39.96
9151;799.23;599.42;499.52;399.62;299.71;199.81;119.88;39.96
9152;799.28;599.46;499.55;399.64;299.73;199.82;119.89;39.96
9153;799.32;599.49;499.58;399.66;299.75;199.83;119.9;39.97
9154;799.36;599.52;499.6;399.68;299.76;199.84;119.9;39.97
9155;799.41;599.56;499.63;399.7;299.78;199.85;119.91;39.97
9156;799.45;599.59;499.66;399.73;299.79;199.86;119.92;39.97
9157;799.5;599.62;499.68;399.75;299.81;199.87;119.92;39.97
9158;799.54;599.65;499.71;399.77;299.83;199.88;119.93;39.98
9159;799.58;599.69;499.74;399.79;299.84;199.9;119.94;39.98
9160;799.63;599.72;499.77;399.81;299.86;199.91;119.94;39.98
9161;799.67;599.75;499.79;399.83;299.88;199.92;119.95;39.98
9162;799.71;599.78;499.82;399.86;299.89;199.93;119.96;39.99
9163;799.76;599.82;499.85;399.88;299.91;199.94;119.96;39.99
9164;799.8;599.85;499.88;399.9;299.93;199.95;119.97;39.99
9165;799.84;599.88;499.9;399.92;299.94;199.96;119.98;39.99
9166;799.89;599.92;499.93;399.94;299.96;199.97;119.98;39.99
9167;799.93;599.95;499.96;399.97;299.97;199.98;119.99;40
9168;799.98;599.98;499.98;399.99;299.99;199.99;120;40
9169;800.02;600.01;500.01;400.01;300.01;200;120;40
9170;800.06;600.05;500.04;400.03;300.02;200.02;120.01;40
9171;800.11;600.08;500.07;400.05;300.04;200.03;120.02;40.01
9172;800.15;600.11;500.09;400.07;300.06;200.04;120.02;40.01
9173;800.19;600.14;500.12;400.1;300.07;200.05;120.03;40.01
9174;800.24;600.18;500.15;400.12;300.09;200.06;120.04;40.01
9175;800.28;600.21;500.18;400.14;300.11;200.07;120.04;40.01
9176;800.32;600.24;500.2;400.16;300.12;200.08;120.05;40.02
9177;800.37;600.28;500.23;400.18;300.14;200.09;120.06;40.02
9178;800.41;600.31;500.26;400.21;300.15;200.1;120.06;40.02
9179;800.45;600.34;500.28;400.23;300.17;200.11;120.07;40.02
9180;800.5;600.37;500.31;400.25;300.19;200.12;120.07;40.02
9181;800.54;600.41;500.34;400.27;300.2;200.14;120.08;40.03
9182;800.59;600.44;500.37;400.29;300.22;200.15;120.09;40.03
9183;800.63;600.47;500.39;400.31;300.24;200.16;120.09;40.03
9184;800.67;600.5;500.42;400.34;300.25;200.17;120.1;40.03
9185;800.72;600.54;500.45;400.36;300.27;200.18;120.11;40.04
9186;800.76;600.57;500.48;400.38;300.29;200.19;120.11;40.04
9187;800.8;600.6;500.5;400.4;300.3;200.2;120.12;40.04
9188;800.85;600.64;500.53;400.42;300.32;200.21;120.13;40.04
9189;800.89;600.67;500.56;400.45;300.33;200.22;120.13;40.04
9190;800.93;600.7;500.58;400.47;300.35;200.23;120.14;40.05
9191;800.98;600.73;500.61;400.49;300.37;200.24;120.15;40.05
9192;801.02;600.77;500.64;400.51;300.38;200.26;120.15;40.05
9193;801.07;600.8;500.67;400.53;300.4;200.27;120.16;40.05
9194;801.11;600.83;500.69;400.55;300.42;200.28;120.17;40.06
9195;801.15;600.86;500.72;400.58;300.43;200.29;120.17;40.06
9196;801.2;600.9;500.75;400.6;300.45;200.3;120.18;40.06
9197;801.24;600.93;500.77;400.62;300.46;200.31;120.19;40.06
9198;801.28;600.96;500.8;400.64;300.48;200.32;120.19;40.06
9199;801.33;600.99;500.83;400.66;300.5;200.33;120.2;40.07
9200;801.37;601.03;500.86;400.69;300.51;200.34;120.21;40.07
9201;801.41;601.06;500.88;400.71;300.53;200.35;120.21;40.07
9202;801.46;601.09;500.91;400.73;300.55;200.36;120.22;40.07
9203;801.5;601.13;500.94;400.75;300.56;200.38;120.23;40.08
9204;801.54;601.16;500.97;400.77;300.58;200.39;120.23;40.08
9205;801.59;601.19;500.99;400.79;300.6;200.4;120.24;40.08
9206;801.63;601.22;501.02;400.82;300.61;200.41;120.24;40.08
9207;801.67;601.26;501.05;400.84;300.63;200.42;120.25;40.08
9208;801.72;601.29;501.07;400.86;300.64;200.43;120.26;40.09
9209;801.76;601.32;501.1;400.88;300.66;200.44;120.26;40.09
9210;801.81;601.35;501.13;400.9;300.68;200.45;120.27;40.09
9211;801.85;601.39;501.16;400.92;300.69;200.46;120.28;40.09
9212;801.89;601.42;501.18;400.95;300.71;200.47;120.28;40.09
9213;801.94;601.45;501.21;400.97;300.73;200.48;120.29;40.1
9214;801.98;601.48;501.24;400.99;300.74;200.49;120.3;40.1
9215;802.02;601.52;501.26;401.01;300.76;200.51;120.3;40.1
9216;802.07;601.55;501.29;401.03;300.77;200.52;120.31;40.1
9217;802.11;601.58;501.32;401.06;300.79;200.53;120.32;40.11
9218;802.15;601.62;501.35;401.08;300.81;200.54;120.32;40.11
9219;802.2;601.65;501.37;401.1;300.82;200.55;120.33;40.11
9220;802.24;601.68;501.4;401.12;300.84;200.56;120.34;40.11
9221;802.28;601.71;501.43;401.14;300.86;200.57;120.34;40.11
9222;802.33;601.75;501.45;401.16;300.87;200.58;120.35;40.12
9223;802.37;601.78;501.48;401.19;300.89;200.59;120.36;40.12
9224;802.41;601.81;501.51;401.21;300.91;200.6;120.36;40.12
9225;802.46;601.84;501.54;401.23;300.92;200.61;120.37;40.12
9226;802.5;601.88;501.56;401.25;300.94;200.63;120.38;40.13
9227;802.55;601.91;501.59;401.27;300.95;200.64;120.38;40.13
9228;802.59;601.94;501.62;401.29;300.97;200.65;120.39;40.13
9229;802.63;601.97;501.65;401.32;300.99;200.66;120.39;40.13
9230;802.68;602.01;501.67;401.34;301;200.67;120.4;40.13
9231;802.72;602.04;501.7;401.36;301.02;200.68;120.41;40.14
9232;802.76;602.07;501.73;401.38;301.04;200.69;120.41;40.14
9233;802.81;602.1;501.75;401.4;301.05;200.7;120.42;40.14
9234;802.85;602.14;501.78;401.42;301.07;200.71;120.43;40.14
9235;802.89;602.17;501.81;401.45;301.08;200.72;120.43;40.14
9236;802.94;602.2;501.84;401.47;301.1;200.73;120.44;40.15
9237;802.98;602.23;501.86;401.49;301.12;200.74;120.45;40.15
9238;803.02;602.27;501.89;401.51;301.13;200.76;120.45;40.15
9239;803.07;602.3;501.92;401.53;301.15;200.77;120.46;40.15
9240;803.11;602.33;501.94;401.56;301.17;200.78;120.47;40.16
9241;803.15;602.37;501.97;401.58;301.18;200.79;120.47;40.16
9242;803.2;602.4;502;401.6;301.2;200.8;120.48;40.16
9243;803.24;602.43;502.03;401.62;301.22;200.81;120.49;40.16
9244;803.28;602.46;502.05;401.64;301.23;200.82;120.49;40.16
9245;803.33;602.5;502.08;401.66;301.25;200.83;120.5;40.17
9246;803.37;602.53;502.11;401.69;301.26;200.84;120.51;40.17
9247;803.41;602.56;502.13;401.71;301.28;200.85;120.51;40.17
9248;803.46;602.59;502.16;401.73;301.3;200.86;120.52;40.17
9249;803.5;602.63;502.19;401.75;301.31;200.88;120.53;40.18
9250;803.54;602.66;502.22;401.77;301.33;200.89;120.53;40.18
9251;803.59;602.69;502.24;401.79;301.35;200.9;120.54;40.18
9252;803.63;602.72;502.27;401.82;301.36;200.91;120.54;40.18
9253;803.67;602.76;502.3;401.84;301.38;200.92;120.55;40.18
9254;803.72;602.79;502.32;401.86;301.39;200.93;120.56;40.19
9255;803.76;602.82;502.35;401.88;301.41;200.94;120.56;40.19
9256;803.81;602.85;502.38;401.9;301.43;200.95;120.57;40.19
9257;803.85;602.89;502.41;401.92;301.44;200.96;120.58;40.19
9258;803.89;602.92;502.43;401.95;301.46;200.97;120.58;40.19
9259;803.94;602.95;502.46;401.97;301.48;200.98;120.59;40.2
9260;803.98;602.98;502.49;401.99;301.49;200.99;120.6;40.2
9261;804.02;603.02;502.51;402.01;301.51;201.01;120.6;40.2
9262;804.07;603.05;502.54;402.03;301.52;201.02;120.61;40.2
9263;804.11;603.08;502.57;402.05;301.54;201.03;120.62;40.21
9264;804.15;603.11;502.6;402.08;301.56;201.04;120.62;40.21
9265;804.2;603.15;502.62;402.1;301.57;201.05;120.63;40.21
9266;804.24;603.18;502.65;402.12;301.59;201.06;120.64;40.21
9267;804.28;603.21;502.68;402.14;301.61;201.07;120.64;40.21
9268;804.33;603.24;502.7;402.16;301.62;201.08;120.65;40.22
9269;804.37;603.28;502.73;402.18;301.64;201.09;120.66;40.22
9270;804.41;603.31;502.76;402.21;301.65;201.1;120.66;40.22
9271;804.46;603.34;502.79;402.23;301.67;201.11;120.67;40.22
9272;804.5;603.37;502.81;402.25;301.69;201.12;120.67;40.22
9273;804.54;603.41;502.84;402.27;301.7;201.14;120.68;40.23
9274;804.59;603.44;502.87;402.29;301.72;201.15;120.69;40.23
9275;804.63;603.47;502.89;402.31;301.74;201.16;120.69;40.23
9276;804.67;603.5;502.92;402.34;301.75;201.17;120.7;40.23
9277;804.72;603.54;502.95;402.36;301.77;201.18;120.71;40.24
9278;804.76;603.57;502.97;402.38;301.78;201.19;120.71;40.24
9279;804.8;603.6;503;402.4;301.8;201.2;120.72;40.24
9280;804.85;603.64;503.03;402.42;301.82;201.21;120.73;40.24
9281;804.89;603.67;503.06;402.45;301.83;201.22;120.73;40.24
9282;804.93;603.7;503.08;402.47;301.85;201.23;120.74;40.25
9283;804.98;603.73;503.11;402.49;301.87;201.24;120.75;40.25
9284;805.02;603.77;503.14;402.51;301.88;201.26;120.75;40.25
9285;805.06;603.8;503.16;402.53;301.9;201.27;120.76;40.25
9286;805.11;603.83;503.19;402.55;301.92;201.28;120.77;40.26
9287;805.15;603.86;503.22;402.58;301.93;201.29;120.77;40.26
9288;805.19;603.9;503.25;402.6;301.95;201.3;120.78;40.26
9289;805.24;603.93;503.27;402.62;301.96;201.31;120.79;40.26
9290;805.28;603.96;503.3;402.64;301.98;201.32;120.79;40.26
9291;805.32;603.99;503.33;402.66;302;201.33;120.8;40.27
9292;805.37;604.03;503.35;402.68;302.01;201.34;120.81;40.27
9293;805.41;604.06;503.38;402.71;302.03;201.35;120.81;40.27
9294;805.45;604.09;503.41;402.73;302.05;201.36;120.82;40.27
9295;805.5;604.12;503.44;402.75;302.06;201.37;120.82;40.27
9296;805.54;604.16;503.46;402.77;302.08;201.39;120.83;40.28
9297;805.58;604.19;503.49;402.79;302.09;201.4;120.84;40.28
9298;805.63;604.22;503.52;402.81;302.11;201.41;120.84;40.28
9299;805.67;604.25;503.54;402.84;302.13;201.42;120.85;40.28
9300;805.71;604.29;503.57;402.86;302.14;201.43;120.86;40.29
9301;805.76;604.32;503.6;402.88;302.16;201.44;120.86;40.29
9302;805.8;604.35;503.63;402.9;302.18;201.45;120.87;40.29
9303;805.84;604.38;503.65;402.92;302.19;201.46;120.88;40.29
9304;805.89;604.42;503.68;402.94;302.21;201.47;120.88;40.29
9305;805.93;604.45;503.71;402.97;302.22;201.48;120.89;40.3
9306;805.97;604.48;503.73;402.99;302.24;201.49;120.9;40.3
9307;806.02;604.51;503.76;403.01;302.26;201.5;120.9;40.3
9308;806.06;604.54;503.79;403.03;302.27;201.51;120.91;40.3
9309;806.1;604.58;503.81;403.05;302.29;201.53;120.92;40.31
9310;806.15;604.61;503.84;403.07;302.3;201.54;120.92;40.31
9311;806.19;604.64;503.87;403.09;302.32;201.55;120.93;40.31
9312;806.23;604.67;503.9;403.12;302.34;201.56;120.93;40.31
9313;806.28;604.71;503.92;403.14;302.35;201.57;120.94;40.31
9314;806.32;604.74;503.95;403.16;302.37;201.58;120.95;40.32
9315;806.36;604.77;503.98;403.18;302.39;201.59;120.95;40.32
9316;806.41;604.8;504;403.2;302.4;201.6;120.96;40.32
9317;806.45;604.84;504.03;403.22;302.42;201.61;120.97;40.32
9318;806.49;604.87;504.06;403.25;302.43;201.62;120.97;40.32
9319;806.54;604.9;504.09;403.27;302.45;201.63;120.98;40.33
9320;806.58;604.93;504.11;403.29;302.47;201.64;120.99;40.33
9321;806.62;604.97;504.14;403.31;302.48;201.66;120.99;40.33
9322;806.67;605;504.17;403.33;302.5;201.67;121;40.33
9323;806.71;605.03;504.19;403.35;302.52;201.68;121.01;40.34
9324;806.75;605.06;504.22;403.38;302.53;201.69;121.01;40.34
9325;806.8;605.1;504.25;403.4;302.55;201.7;121.02;40.34
9326;806.84;605.13;504.27;403.42;302.56;201.71;121.03;40.34
9327;806.88;605.16;504.3;403.44;302.58;201.72;121.03;40.34
9328;806.93;605.19;504.33;403.46;302.6;201.73;121.04;40.35
9329;806.97;605.23;504.36;403.48;302.61;201.74;121.05;40.35
9330;807.01;605.26;504.38;403.51;302.63;201.75;121.05;40.35
9331;807.06;605.29;504.41;403.53;302.65;201.76;121.06;40.35
9332;807.1;605.32;504.44;403.55;302.66;201.77;121.06;40.35
9333;807.14;605.36;504.46;403.57;302.68;201.79;121.07;40.36
9334;807.18;605.39;504.49;403.59;302.69;201.8;121.08;40.36
9335;807.23;605.42;504.52;403.61;302.71;201.81;121.08;40.36
9336;807.27;605.45;504.54;403.64;302.73;201.82;121.09;40.36
9337;807.31;605.49;504.57;403.66;302.74;201.83;121.1;40.37
9338;807.36;605.52;504.6;403.68;302.76;201.84;121.1;40.37
9339;807.4;605.55;504.63;403.7;302.78;201.85;121.11;40.37
9340;807.44;605.58;504.65;403.72;302.79;201.86;121.12;40.37
9341;807.49;605.62;504.68;403.74;302.81;201.87;121.12;40.37
9342;807.53;605.65;504.71;403.77;302.82;201.88;121.13;40.38
9343;807.57;605.68;504.73;403.79;302.84;201.89;121.14;40.38
9344;807.62;605.71;504.76;403.81;302.86;201.9;121.14;40.38
9345;807.66;605.75;504.79;403.83;302.87;201.92;121.15;40.38
9346;807.7;605.78;504.81;403.85;302.89;201.93;121.16;40.39
9347;807.75;605.81;504.84;403.87;302.91;201.94;121.16;40.39
9348;807.79;605.84;504.87;403.9;302.92;201.95;121.17;40.39
9349;807.83;605.87;504.9;403.92;302.94;201.96;121.17;40.39
9350;807.88;605.91;504.92;403.94;302.95;201.97;121.18;40.39
9351;807.92;605.94;504.95;403.96;302.97;201.98;121.19;40.4
9352;807.96;605.97;504.98;403.98;302.99;201.99;121.19;40.4
9353;808.01;606;505;404;303;202;121.2;40.4
9354;808.05;606.04;505.03;404.02;303.02;202.01;121.21;40.4
9355;808.09;606.07;505.06;404.05;303.03;202.02;121.21;40.4
9356;808.14;606.1;505.08;404.07;303.05;202.03;121.22;40.41
9357;808.18;606.13;505.11;404.09;303.07;202.04;121.23;40.41
9358;808.22;606.17;505.14;404.11;303.08;202.06;121.23;40.41
9359;808.27;606.2;505.17;404.13;303.1;202.07;121.24;40.41
9360;808.31;606.23;505.19;404.15;303.12;202.08;121.25;40.42
9361;808.35;606.26;505.22;404.18;303.13;202.09;121.25;40.42
9362;808.39;606.3;505.25;404.2;303.15;202.1;121.26;40.42
9363;808.44;606.33;505.27;404.22;303.16;202.11;121.27;40.42
9364;808.48;606.36;505.3;404.24;303.18;202.12;121.27;40.42
9365;808.52;606.39;505.33;404.26;303.2;202.13;121.28;40.43
9366;808.57;606.43;505.35;404.28;303.21;202.14;121.29;40.43
9367;808.61;606.46;505.38;404.31;303.23;202.15;121.29;40.43
9368;808.65;606.49;505.41;404.33;303.25;202.16;121.3;40.43
9369;808.7;606.52;505.44;404.35;303.26;202.17;121.3;40.43
9370;808.74;606.56;505.46;404.37;303.28;202.19;121.31;40.44
9371;808.78;606.59;505.49;404.39;303.29;202.2;121.32;40.44
9372;808.83;606.62;505.52;404.41;303.31;202.21;121.32;40.44
9373;808.87;606.65;505.54;404.43;303.33;202.22;121.33;40.44
9374;808.91;606.68;505.57;404.46;303.34;202.23;121.34;40.45
9375;808.96;606.72;505.6;404.48;303.36;202.24;121.34;40.45
9376;809;606.75;505.62;404.5;303.37;202.25;121.35;40.45
9377;809.04;606.78;505.65;404.52;303.39;202.26;121.36;40.45
9378;809.09;606.81;505.68;404.54;303.41;202.27;121.36;40.45
9379;809.13;606.85;505.71;404.56;303.42;202.28;121.37;40.46
9380;809.17;606.88;505.73;404.59;303.44;202.29;121.38;40.46
9381;809.21;606.91;505.76;404.61;303.46;202.3;121.38;40.46
9382;809.26;606.94;505.79;404.63;303.47;202.31;121.39;40.46
9383;809.3;606.98;505.81;404.65;303.49;202.33;121.4;40.47
9384;809.34;607.01;505.84;404.67;303.5;202.34;121.4;40.47
9385;809.39;607.04;505.87;404.69;303.52;202.35;121.41;40.47
9386;809.43;607.07;505.89;404.72;303.54;202.36;121.41;40.47
9387;809.47;607.11;505.92;404.74;303.55;202.37;121.42;40.47
9388;809.52;607.14;505.95;404.76;303.57;202.38;121.43;40.48
9389;809.56;607.17;505.97;404.78;303.58;202.39;121.43;40.48
9390;809.6;607.2;506;404.8;303.6;202.4;121.44;40.48
9391;809.65;607.23;506.03;404.82;303.62;202.41;121.45;40.48
9392;809.69;607.27;506.06;404.84;303.63;202.42;121.45;40.48
9393;809.73;607.3;506.08;404.87;303.65;202.43;121.46;40.49
9394;809.78;607.33;506.11;404.89;303.67;202.44;121.47;40.49
9395;809.82;607.36;506.14;404.91;303.68;202.45;121.47;40.49
9396;809.86;607.4;506.16;404.93;303.7;202.47;121.48;40.49
9397;809.9;607.43;506.19;404.95;303.71;202.48;121.49;40.5
9398;809.95;607.46;506.22;404.97;303.73;202.49;121.49;40.5
9399;809.99;607.49;506.24;405;303.75;202.5;121.5;40.5
9400;810.03;607.53;506.27;405.02;303.76;202.51;121.51;40.5
9401;810.08;607.56;506.3;405.04;303.78;202.52;121.51;40.5
9402;810.12;607.59;506.32;405.06;303.79;202.53;121.52;40.51
9403;810.16;607.62;506.35;405.08;303.81;202.54;121.52;40.51
9404;810.21;607.65;506.38;405.1;303.83;202.55;121.53;40.51
9405;810.25;607.69;506.41;405.12;303.84;202.56;121.54;40.51
9406;810.29;607.72;506.43;405.15;303.86;202.57;121.54;40.51
9407;810.34;607.75;506.46;405.17;303.88;202.58;121.55;40.52
9408;810.38;607.78;506.49;405.19;303.89;202.59;121.56;40.52
9409;810.42;607.82;506.51;405.21;303.91;202.61;121.56;40.52
9410;810.46;607.85;506.54;405.23;303.92;202.62;121.57;40.52
9411;810.51;607.88;506.57;405.25;303.94;202.63;121.58;40.53
9412;810.55;607.91;506.59;405.28;303.96;202.64;121.58;40.53
9413;810.59;607.95;506.62;405.3;303.97;202.65;121.59;40.53
9414;810.64;607.98;506.65;405.32;303.99;202.66;121.6;40.53
9415;810.68;608.01;506.67;405.34;304;202.67;121.6;40.53
9416;810.72;608.04;506.7;405.36;304.02;202.68;121.61;40.54
9417;810.77;608.07;506.73;405.38;304.04;202.69;121.61;40.54
9418;810.81;608.11;506.76;405.4;304.05;202.7;121.62;40.54
9419;810.85;608.14;506.78;405.43;304.07;202.71;121.63;40.54
9420;810.9;608.17;506.81;405.45;304.09;202.72;121.63;40.54
9421;810.94;608.2;506.84;405.47;304.1;202.73;121.64;40.55
9422;810.98;608.24;506.86;405.49;304.12;202.75;121.65;40.55
9423;811.02;608.27;506.89;405.51;304.13;202.76;121.65;40.55
9424;811.07;608.3;506.92;405.53;304.15;202.77;121.66;40.55
9425;811.11;608.33;506.94;405.56;304.17;202.78;121.67;40.56
9426;811.15;608.36;506.97;405.58;304.18;202.79;121.67;40.56
9427;811.2;608.4;507;405.6;304.2;202.8;121.68;40.56
9428;811.24;608.43;507.02;405.62;304.21;202.81;121.69;40.56
9429;811.28;608.46;507.05;405.64;304.23;202.82;121.69;40.56
9430;811.33;608.49;507.08;405.66;304.25;202.83;121.7;40.57
9431;811.37;608.53;507.11;405.68;304.26;202.84;121.71;40.57
9432;811.41;608.56;507.13;405.71;304.28;202.85;121.71;40.57
9433;811.45;608.59;507.16;405.73;304.3;202.86;121.72;40.57
9434;811.5;608.62;507.19;405.75;304.31;202.87;121.72;40.57
9435;811.54;608.66;507.21;405.77;304.33;202.89;121.73;40.58
9436;811.58;608.69;507.24;405.79;304.34;202.9;121.74;40.58
9437;811.63;608.72;507.27;405.81;304.36;202.91;121.74;40.58
9438;811.67;608.75;507.29;405.83;304.38;202.92;121.75;40.58
9439;811.71;608.78;507.32;405.86;304.39;202.93;121.76;40.59
9440;811.76;608.82;507.35;405.88;304.41;202.94;121.76;40.59
9441;811.8;608.85;507.37;405.9;304.42;202.95;121.77;40.59
9442;811.84;608.88;507.4;405.92;304.44;202.96;121.78;40.59
9443;811.88;608.91;507.43;405.94;304.46;202.97;121.78;40.59
9444;811.93;608.95;507.45;405.96;304.47;202.98;121.79;40.6
9445;811.97;608.98;507.48;405.99;304.49;202.99;121.8;40.6
9446;812.01;609.01;507.51;406.01;304.5;203;121.8;40.6
9447;812.06;609.04;507.54;406.03;304.52;203.01;121.81;40.6
9448;812.1;609.07;507.56;406.05;304.54;203.02;121.81;40.6
9449;812.14;609.11;507.59;406.07;304.55;203.04;121.82;40.61
9450;812.19;609.14;507.62;406.09;304.57;203.05;121.83;40.61
9451;812.23;609.17;507.64;406.11;304.59;203.06;121.83;40.61
9452;812.27;609.2;507.67;406.14;304.6;203.07;121.84;40.61
9453;812.31;609.24;507.7;406.16;304.62;203.08;121.85;40.62
9454;812.36;609.27;507.72;406.18;304.63;203.09;121.85;40.62
9455;812.4;609.3;507.75;406.2;304.65;203.1;121.86;40.62
9456;812.44;609.33;507.78;406.22;304.67;203.11;121.87;40.62
9457;812.49;609.36;507.8;406.24;304.68;203.12;121.87;40.62
9458;812.53;609.4;507.83;406.26;304.7;203.13;121.88;40.63
9459;812.57;609.43;507.86;406.29;304.71;203.14;121.89;40.63
9460;812.61;609.46;507.88;406.31;304.73;203.15;121.89;40.63
9461;812.66;609.49;507.91;406.33;304.75;203.16;121.9;40.63
9462;812.7;609.53;507.94;406.35;304.76;203.18;121.91;40.64
9463;812.74;609.56;507.96;406.37;304.78;203.19;121.91;40.64
9464;812.79;609.59;507.99;406.39;304.79;203.2;121.92;40.64
9465;812.83;609.62;508.02;406.41;304.81;203.21;121.92;40.64
9466;812.87;609.65;508.05;406.44;304.83;203.22;121.93;40.64
9467;812.92;609.69;508.07;406.46;304.84;203.23;121.94;40.65
9468;812.96;609.72;508.1;406.48;304.86;203.24;121.94;40.65
9469;813;609.75;508.13;406.5;304.88;203.25;121.95;40.65
9470;813.04;609.78;508.15;406.52;304.89;203.26;121.96;40.65
9471;813.09;609.82;508.18;406.54;304.91;203.27;121.96;40.65
9472;813.13;609.85;508.21;406.57;304.92;203.28;121.97;40.66
9473;813.17;609.88;508.23;406.59;304.94;203.29;121.98;40.66
9474;813.22;609.91;508.26;406.61;304.96;203.3;121.98;40.66
9475;813.26;609.94;508.29;406.63;304.97;203.31;121.99;40.66
9476;813.3;609.98;508.31;406.65;304.99;203.33;122;40.67
