YYYY	MM	DD	hh	mm	d18O
1999	7	4	0	0	
1999	7	5	0	0	
1999	7	6	0	0	-6.91
1999	7	7	0	0	-6.91
1999	7	8	0	0	
1999	7	9	0	0	-7.57
1999	7	10	0	0	-7.57
1999	7	11	0	0	-7.57
1999	7	12	0	0	-7.57
1999	7	13	0	0	-7.57
1999	7	14	0	0	-7.57
1999	7	15	0	0	-7.57
1999	7	16	0	0	
1999	7	17	0	0	
1999	7	18	0	0	
1999	7	19	0	0	
1999	7	20	0	0	-7.57
1999	7	21	0	0	
1999	7	22	0	0	-6.0
1999	7	23	0	0	-6.0
1999	7	24	0	0	
1999	7	25	0	0	
1999	7	26	0	0	
1999	7	27	0	0	
1999	7	28	0	0	-6.0
1999	7	29	0	0	
1999	7	30	0	0	
1999	7	31	0	0	
1999	8	1	0	0	
1999	8	2	0	0	
1999	8	3	0	0	-6.0
1999	8	4	0	0	
1999	8	5	0	0	
1999	8	6	0	0	-6.0
1999	8	7	0	0	-6.0
1999	8	8	0	0	-6.0
1999	8	9	0	0	-6.0
1999	8	10	0	0	-6.0
1999	8	11	0	0	-6.0
1999	8	12	0	0	-6.0
1999	8	13	0	0	
1999	8	14	0	0	-6.0
1999	8	15	0	0	-6.0
1999	8	16	0	0	-5.78
1999	8	17	0	0	-5.78
1999	8	18	0	0	-5.78
1999	8	19	0	0	-5.78
1999	8	20	0	0	-5.78
1999	8	21	0	0	
1999	8	22	0	0	
1999	8	23	0	0	
1999	8	24	0	0	-5.78
1999	8	25	0	0	
1999	8	26	0	0	-5.78
1999	8	27	0	0	
1999	8	28	0	0	-5.78
1999	8	29	0	0	-5.78
1999	8	30	0	0	
1999	8	31	0	0	
1999	9	1	0	0	
1999	9	2	0	0	
1999	9	3	0	0	
1999	9	4	0	0	
1999	9	5	0	0	
1999	9	6	0	0	
1999	9	7	0	0	
1999	9	8	0	0	
1999	9	9	0	0	
1999	9	10	0	0	
1999	9	11	0	0	
1999	9	12	0	0	
1999	9	13	0	0	
1999	9	14	0	0	
1999	9	15	0	0	
1999	9	16	0	0	-9.67
1999	9	17	0	0	-9.67
1999	9	18	0	0	
